3,4-Diaminopyridine	N07XX05
Marcain-Adrenalin	N01BB51
Marcaine	N01BB01
Marevan	B01AA03
Marevan uten farve	B01AA03
Marinol	A04AD10
Marplan	N06AF01
Martapan	H02AB02
Marvelon	G03AA09
Marvelon 28	G03AA09
Marzine	R06AE03
Max-Carnitine	A16AA01
Maxalt	N02CC04
Maxalt Rapitab	N02CC04
Maxitrol	S01CA01
Medikinet	N06BA04
Medisinsk Luft Air Liquide	V03AN
Medisinsk Oksygen Air Liquide	V03AN01
Medisinsk lystgass Air Liquide	N01AX13
Medrol	H02AB04
Medrol specific	H02AB04
Megace	L02AB01
Mekobalamin	B03BA05
Meladinin SA	D05AD02
Melatonin	N05CH01
Melatonin CR	N05CH01
Melatonin Euromedica	N05CH01
Melatonin PR	N05CH01
Melatonin Sublingual Douglas	N05CH01
Melatonin douglas	N05CH01
Melatonin euromedica	N05CH01
Melatonin karuna	N05CH01
Melleril	N05AC02
Meloxicam Actavis	M01AC06
Meloxicam BMM Pharma	M01AC06
Meloxicam Bluefish	M01AC06
Meloxicam Mylan	M01AC06
Memantine ratiopharm	N06DX01
Menadion	B02BA01
Menadion specific	B02BA01
Menopur	G03GA02
Menveo	J07AH08
Mepact	L03AX15
Mepakrinhydroklorid	P01AX05
Meprodil	N05BC01
Mercilon 28	G03AA09
Meronem	J01DH02
Meropenem Hospira	J01DH02
Meropenem Sandoz	J01DH02
Meropenem VM hospira SA	J01DH02
Meropur	G03GA02
Mesasal	A07EC02
Mestinon	N07AA02
Metadon	N07BC02
Metadon Abcur	N07BC02
Metadon Apotektilvirket	N07BC02
Metadon DnE	N07BC02
Metadon NAF	N07BC02
Metadon NYP	N07BC02
Metadon Pharmadone	N07BC02
Metadon SA	N07BC02
Metadon abcur	N07BC02
Metadon ullevål	N07BC02
Metakolin SA	V04CX
Metal Clean	A11
Metalyse	B01AD11
Metamina	N06BA02
Metaoxedrin Minims	S01FB01
Metex	L01BA01
Metformin Actavis	A10BA02
Metformin Amneal	A10BA02
Metformin Mylan	A10BA02
Metformin Orifarm	A10BA02
Metformin Pfizer	A10BA02
Metformin Weifa	A10BA02
Methadon Alternova	N07BC02
Methadon Martindale Pharma	N07BC02
Methazolamide	S01EC05
Methergin	G02AB01
Methocel	S01XA20
Methotrexat	L01BA01
Methotrexat Accord	L01BA01
Methotrexate	L04AX03
Methotrexate Pfizer	L04AX03
Methotrexate Teva	L01BA01
Methyl B12	B03BA05
Methyldopa	C02AB01
Methylene Blue	V03AB17
Methylphenidate Sandoz	N06BA04
Methylprednisolone Orion	H02AB04
Methylthioninium chloride Proveblue	V03AB17
Metionin SA	V06D
Metoclopramide	A03FA01
Metoklopramid SA	A03FA01
Metoksalen SA	D05AD02
Metolazon	C03BA08
Metopirone	V04CD01
Metoprolol Mylan	C07AB02
Metoprolol SA	C07AB02
Metoprolol Sandoz	C07AB02
Metosyn	D07AC08
Metronidazol Actavis	P01AB01
Metronidazol Baxter Viaflo	J01XD01
Metronidazole Braun	J01XD01
Metvix	L01XD03
Metylcellulose SA	S01
Metylfenidat SA	N06BA04
Metylskopolamin NAF	A03BB03
Metylskopolamin SA	A04AD01
Metyltionin	V03AB17
Mexiletine	C01BB02
Mexitil	C01BB02
Mezavant	A07EC02
Miacalcic	H05BA01
Miacalcic Mite	H05BA01
Miacalcic mite	H05BA01
Mianserin Mylan	N06AX03
Micardis	C09CA07
MicardisPlus	C09DA07
Microcid	D08AX01
Microgynon	G03AA07
Microlax	A06AG11
Micronefrin	R03AA01
Midazolam	N05CD08
Midazolam Actavis	N05CD08
Midazolam B.Braun	N05CD08
Midazolam Panpharma	N05CD08
Midazolam SA	N05CD08
Midazolam ullevål	N05CD08
Mifegyne	G03XB01
Mifepristone Linepharma	G03XB01
Migard	N02CC07
Migea	M01AG02
Miglustat SA	A16AX06
Mildison Lipid	D07AA02
Milrinone	C01CE02
Mimpara	H05BX01
Mindiab	A10BB07
Miniderm	D02AX
Minifom	A03AX13
Minipres	C02CA01
Minipress	C02CA01
Minirin	H01BA02
Minitran	C01DA02
Minocin	J01AA08
Minocyclin	J01AA08
Minoxidil	C02DC01
Minprostin	G02AD02
Miochol-E	S01EB09
Miochol-E campus	S01EB09
Mircera	B03XA03
Mirena	G02BA03
Mirtazapin Arrow	N06AX11
Mirtazapin Bluefish	N06AX11
Mirtazapin Hexal	N06AX11
Mirvaso	D11AX21
Misodel	G02AD06
Misoprostol SA	G02AD06
Mitomycin	L01DC03
Mitomycin C campus	L01DC03
Mitomycin SA	L01DC03
Mitomycin-C	L01DC03
Mitoxantron Ebewe	L01DB07
Mivacron	M03AC10
Mixobar Colon	V08BA01
Mobic	M01AC06
Moclobemid ratiopharm	N06AG02
Modecate	N05AB02
Modifenac	M01AB05
Modigraf	L04AD02
Modiodal	N06BA07
Moduretic Mite	C03EA01
Mogadon	N05CD02
Molipaxin	N06AX05
Molsidomin	C01DX12
Mometasone Sandoz	R01AD09
Mometasonfuroate SA	R01AD09
Monofer	B03AC
Monokaliumfosfat Braun	B05XA06
Monoket OD	C01DA14
Mononatriumfosfat SA	A12CX
Monopex	S01BA01
Monoprost	S01EE01
Monosol	B05ZB
Montelukast Aspen	R03DC03
Montelukast Navamedic	R03DC03
Montelukast Teva	R03DC03
Monuril	J01XX01
Morfin	N02AA01
Morfin Abcur	N02AA01
Morfin Epidural	N02AA01
Morfin NAF	N02AA01
Morfin Nycomed	N02AA01
Morfin SA	N02AA01
Morfin abcur	N02AA01
Morfin ullevål	N02AA01
Morfin-Skopolamin	N02AG01
Morfinhydroklorid SA	N02AA01
Morphin	N02AA01
Morphine	N02AA01
Motilium	A03FA03
Movicol	A06AD65
Movicol Junior	A06AD65
Movicol Junior Neutral	A06AD65
Moviprep	A06AD65
Moxalole	A06AD65
Moxonidin Actavis	C02AC05
Mozobil	L03AX16
Mucomyst	R05CB01
Multaq	C01BD07
MultiHance	V08CA08
Multibic 2 mmol/l Kalium	B05ZB
Multibic 4 mmol/l Kalium	B05ZB
Multibic Kaliumfri	B05ZB
Multibionta Nutrition	A11BA
Multiferon	L03AB01
Multivit-B	A11EA
Multivit-B forte	A11EA
Mutaflor	A07
Mutaflor Mite	A07
Myambutol	J04AK02
Mycamine	J02AX05
Mycobutin	J04AB04
Mycolog	D07CB01
Mycolog N	D07CC05
Mycophenolatemofetil Accord	L04AA06
Mycophenolatemofetil Sandoz	L04AA06
Mycopryl	A07XA
Mycopryl 680	A07XA
Mycostatin	A07AA02
Mydriacyl	S01FA06
Mydrilate	S01FA04
Mydrum	S01FA06
Myfenax	L04AA06
Myfortic	L04AA06
Mykofenolat Accord	L04AA06
Mykofenolatmofetil Actavis	L04AA06
Myleran	L01AB01
Myleran campus	L01AB01
Myocet	L01DB01
Myocrisin	M01CB01
Myozyme	A16AB07
Myrratinktur NAF	A01AB11
Mysoline	N03AA03
Mytelase	N07AA30
N-acetyl-L-cysteine	R05CB01
NT Factor	V06DX
Na hypokloritt ullevål	A01AB11
Nadolol	C07AA12
Naglazyme	A16AB08
Naglazyme campus	A16AB08
Nalokson SA	V03AB15
Naloksonhydroklorid SA	V03AB15
Naloxon B. Braun	V03AB15
Naloxon Hameln	V03AB15
Naltrekson kragerø	N07BB04
Naltrexone POA Pharma	N07BB04
Napren-E	M01AE02
Naproxen Actavis	M01AE02
Naproxen Mylan	M01AE02
Naproxen-E Mylan	M01AE02
Naramig	N02CC02
Nardil	N06AF03
Naropin	N01BB09
Nasacort	R01AD11
Naso	R01AA07
Nasonex	R01AD09
Natacyn	S01AA10
Natriumbikarbonat	A02AH
Natriumedetat SA	S01XA05
Natriumhydrogenkarbonat Braun	B05BB01
Natriumhydrogenkarbonat NAF	A01AD11
Natriumhydrogenkarbonat SA	A07C
Natriumklorid B. Braun	B05BB01
Natriumklorid Baxter	B05BB01
Natriumklorid Baxter Viaflo	B05BB01
Natriumklorid Fresenius Kabi	V07AB
Natriumklorid NAF	A12CA01
Natriumklorid SA	S01
Natriumklorid i Emulgon	S01XA03
Natriumklorid-Glucos Baxter Viaflo	B05BB02
Natriumlaurylsulfat SA	V07
Natriumperklorat SA	H03BC
Natriumsitrat NAF	V07AD
Natriumsitrat SA	A16AA
Natriumsitrat ullevål	A02A
Natriumsulfatdekahydrat SA	A12CA02
Natriumtiosulfat SA	V07
Natriumvalproat SA	N03AG01
Natron NAF	A02AH
Natulan	L01XB01
Nature-Throid	H03AA05
Navelbine	L01CA04
Navirel	L01CA04
Navoban	A04AA03
Naxogin	P01AB06
Nazaren	R01AA07
Nebcina	J01GB01
Nebido	G03BA03
Nebivolol	C07AB12
NebuPent	P01CX01
Nefazodone	N06AX06
Negatol dental	A01AD11
NeisVac-C	J07AH07
Nemdatine	N06DX01
Neo-Mercazole	H03BB01
NeoRecormon	B03XA01
Neogynona	G03AA07
Neoprofen	C01EB16
Neostigmin NAF	N07AA01
Neotigason	D05BB02
Nephromag	V09CA03
Nepresol	C02DB01
Nesacaine Life	N01BA04
Nesacaine-MPF	N01BA04
Nesacaine-mpf	N01BA04
Neulactil	N05AC01
Neulasta	L03AA13
Neupogen	L03AA02
Neupro	N04BC09
NeuroBloc	M03AX01
Neurobion	A11DB
Neurontin	N03AX12
Nevanac	S01BC10
Nexavar	L01XE05
Nexavir	D
Nexium	A02BC05
Nexodal	V03AB15
Nexplanon	G03AC08
Niacinamide	A11HA01
Niaspan	C10AD02
Nicobion	A11HA01
Nicorette	N07BA01
Nicorette Freshmint	N07BA01
Nicorette Fruitmint	N07BA01
Nicorette Inhalator	N07BA01
Nicotinell	N07BA01
Nicotinell Mint	N07BA01
Nicovel	N07BA01
Nifedipin	C08CA05
Nifehexal	C08CA05
Niferex	B03AA01
Nikotinamid NAF	A11HA01
Nikotinsyre	C04AC01
Nimbex	M03AC11
Nimenrix	J07AH08
Nimoral	P01AB06
Nimotop	C08CA06
Niontix	N01AX13
Nitrazepam	N05CD02
Nitrazepam SA	N05CD02
Nitro-Dur	C01DA02
Nitroglycerin Nycomed	C01DA02
Nitrolingual	C01DA02
Nitropress	C02DD01
Nitropress Life Medical	C02DD01
Nitroven	C01DA02
Nivemycin	A07AA01
Nivestim	L03AA02
Nix	P03AC04
Nobligan	N02AX02
Nobligan Retard	N02AX02
Nolvadex	L02BA01
Nootropil	N06BX03
Noradrenalin	C01CA03
Noradrenalin Abcur	C01CA03
Noradrenalin NAF	C01CA03
Norcuron	M03AC03
Norditropin NordiFlex	H01AC01
Norditropin SimpleXx	H01AC01
Noritren	N06AA10
Norlevo	G03AD01
Normax (co-danthrusate)	A06AB53
Normix	A07AA11
Normorix Mite	C03EA01
Normosang	B06AB
Norprolac	G02CB04
Norprolac Startpakning	G02CB04
Norspan	N02AE01
Norvasc	C08CA01
Norvir	J05AE03
Noskapin	R05DA07
Novalgin	N02BB02
Novaluzid	A02AD01
Novantrone	L01DB07
Novastan	B01AE03
NovoNorm	A10BX02
NovoRapid	A10AB05
NovoRapid Flexpen	A10AB05
NovoRapid Penfill	A10AB05
NovoSeven	B02BD08
NovoThirteen	B02BD11
Novofem	G03FB05
Novomix 30 Flexpen	A10AD05
Novomix 30 Penfill	A10AD05
Novonorm	A10BX02
Novothyral 100	H03AA03
Noxafil	J02AC04
Nozinan	N05AA02
Nplate	B02BX04
NuTRIflex Lipid peri	B05BA10
NuTRIflex Lipid plus	B05BA10
NuTRIflex Lipid special	B05BA10
Nuelin Depot	R03DA04
Nulojix	L04AA28
Numeta G13E	B05BA10
Numeta G16E	B05BA10
Numeta G19E	B05BA10
Nurofen	M01AE01
Nurofen Junior	M01AE01
Nutri-A-25	A11JB
Nutriflex Lipid peri	B05BA10
Nutriflex Lipid plus	B05BA10
Nutriflex Lipid special	B05BA10
Nutriflex Omega plus	B05BA10
Nutriflex Omega special	B05BA10
Nutriflex peri	B05BA10
Nutriflex plus	B05BA10
Nutriflex special	B05BA10
Nutrineal PD4 med aminosyrer 1,1%	B05DB
NutropinAq	H01AC01
Nuvaring	G02BB01
Nycoplus B-Tonin	A11EA
Nycoplus B-Total	A11EA
Nycoplus C-vitamin	A11GA01
Nycoplus Calcigran	A12AX
Nycoplus E-vitamin	A11HA03
Nycoplus Ferro-Retard	B03AA07
Nycoplus Folsyre	B03BB01
Nycoplus Magnesium	A12CC30
Nycoplus Neo-Fer	B03AA02
Nystatin	D01AA01
Nystatin kragerø	A07AA02
Nystatin-Klorheksidin ullevål	A01AB11
OFA avførende urter NAF	A06AB20
OFA urtete NAF	A06AB20
Octagam	J06BA02
Octanate	B02BD02
Octanine	B02BD04
Octaplas Blodtype 0	B05AA02
Octaplas Blodtype A	B05AA02
Octaplas Blodtype AB	B05AA02
Octaplas Blodtype B	B05AA02
Octaplex	B02BD01
Octostim	H01BA02
Octostim 2care4	H01BA02
Octostim orifarm	H01BA02
Octreotide Hospira	H01CB02
Oculac	S01XA20
Oculotect	S01XA20
Oftagel	S01XA20
Oftan	S01ED01
Oksaliplatin SUN	L01XA03
Oksybuprokain SA	N01BA
Oksybutynin NAF	G04BD04
Oktreotid SUN	H01CB02
Olanzapin Orion	N05AH03
Olanzapin Sandoz	N05AH03
Olanzapine Accord	N05AH03
Olanzapine Teva	N05AH03
Olbetam	C10AD06
Oliclinomel N4-550E	B05BA10
Oliclinomel N6-900E	B05BA10
Oliclinomel N7-1000E	B05BA10
Olimel N5E	B05BA10
Olimel N7E	B05BA10
Olimel N9	B05BA10
Olimel N9E	B05BA10
Olimel Perifer N4E	B05BA10
Olje-Glycerol NAF	A06AG04
Oljeklyster ullevål	A06AA
Olmetec	C09CA08
Olmetec Comp	C09DA08
Olmifon	N06BX17
Olopeg	A06AD15
Olysio	J05AE14
Omacor	C10AX06
Omegaven	B05BA02
Omeprazol Bluefish	A02BC01
Omeprazol Pensa	A02BC01
Omeprazol SA	A02BC01
Omeprazole Teva	A02BC01
Omni-Sorb	S01XA03
Omnic	G04CA02
Omnipaque	V08AB02
Omniscan	V08CA03
Omnitrope	H01AC01
Omslagsvann NAF	D08AB
Onbrez Breezhaler	R03AC18
Oncaspar	L01XX24
Oncaspar specific	L01XX24
OncoTICE	L03AX03
Ondansetron Accord	A04AA01
Ondansetron Actavis	A04AA01
Ondansetron Amneal	A04AA01
Ondansetron BMM Pharma	A04AA01
Ondansetron Bluefish	A04AA01
Ondansetron Fresenius Kabi	A04AA01
Ondansetron Hameln	A04AA01
Ondansetron Orifarm	A04AA01
Ondansetron Pfizer	A04AA01
Ondansetron Vian	A04AA01
Onglyza	A10BH03
Onytec	D01AE14
Opatanol	S01GX09
Ophtasiloxan	S01XA20
Opium i fortynnet sprit SA	A07DA02
Opiumdråper/tinktur ullevål	A07DA02
Oprymea	N04BC05
Opsumit	C02KX04
Optimark	V08CA06
Optinate Septimum	M05BA07
Optiray	V08AB07
Optiray 240	V08AB07
Optiray 300	V08AB07
Optiray 350	V08AB07
Optison	V08DA01
Oracea	J01AA02
Oralcon	G03AA07
Oralpädon	A07CA
Oramorph	N02AA01
Orap	N05AG02
Orap Forte	N05AG02
Oraqix	N01BB20
Orencia	L04AA24
Orfadin	A16AX04
Orfiril	N03AG01
Orfiril Retard	N03AG01
Orfiril long	N03AG01
Orfiril retard	N03AG01
Orgalutran	H01CC01
Orivast	N06DA03
Orodek	M01AE17
Orudis	M01AE03
Osigraft	M05BC02
Ospolot	N03AX03
Osvaren	V03AE04
Otrivin	R01AA07
Otrivin Comp	R01AB06
Ovesterin	G03CA04
Ovitrelle	G03GA08
Ovixan	D07AC13
Oxaliplatin Actavis	L01XA03
Oxaliplatin Fresenius Kabi	L01XA03
Oxaliplatin Hospira	L01XA03
Oxaliplatin Teva	L01XA03
Oxibuprokain Minims	S01HA02
Oxis Turbuhaler	R03AC13
Oxsoralen	D05BA02
Oxsoralen Euromedica	D05BA02
OxyContin	N02AA05
OxyNorm	N02AA05
Oxybutyninhydroklorid	G04BD04
Oxycodone Actavis	N02AA05
Oxycodone Orifarm	N02AA05
Oxytetracycline	J01AA06
Oxytocin	H01BB02
Ozurdex	S01BA01
P-5-P	A11HA06
PBS fosfatbuffer pH 7,3 SA	V04CX
Pabal	H01BB03
Pabrinex	A11EB
Pabrinex IM High Potency	A11EB
Pabrinex IM high potency	A11EB
Pabrinex IV High Potency	A11EB
Pabrinex IV high potency	A11EB
Pabrinex IV high potency campus	A11EB
Pabrinex IV high potency life	A11EB
Paclitaxel Actavis	L01CD01
Paclitaxel Ebewe	L01CD01
Paclitaxel Fresenius Kabi	L01CD01
Paclitaxel Hospira	L01CD01
Palbociclib	L01XE
Palexia	N02AX06
Palexia depot	N02AX06
Palladon	N02AA03
Paludrine	P01BB01
Pamidronat Meda	M05BA03
Pamidronatdinatrium Hospira	M05BA03
Pamol	N02BE01
Pamorelin	L02AE04
Pancuronium	M03AC01
Pancuronium campus	M03AC01
Pandemrix	J07BB02
Panodil	N02BE01
Panodil Zapp	N02BE01
Pantoloc Control	A02BC02
Pantoprazol Actavis	A02BC02
Pantoprazol Pensa	A02BC02
Pantoprazol Sandoz	A02BC02
Papaverin	A03AD01
Papaverin NAF	A03AD01
Papaverin/Regitin	G04BE30
Papaverine	A03AD01
Paracet	N02BE01
Paracetamol	N02BE01
Paracetamol Actavis	N02BE01
Paracetamol B. Braun	N02BE01
Paracetamol Fresenius Kabi	N02BE01
Paracetamol Panpharma	N02BE01
Paracetamol SA	N02BE01
Paracetamol braun	N02BE01
Paracetamol ratiopharm	N02BE01
Paracetamol ullevål	N02BE01
Paracetduo	N02BE51
Paraffin flytende steril	D02AC
Parafinemulsjon NAF	A06AA01
Paraflex	M03BB03
Paralen	N02BE51
Paralgin Forte	N02AA59
Paralgin Major	N02AA59
Paralgin Minor	N02AA59
Paramax Comp	N02AA59
Parlodel	G02CB01
Paroxetin Actavis	N06AB05
Paroxetin Amneal	N06AB05
Paroxetin Hexal	N06AB05
Paroxetin Pfizer	N06AB05
Patentblau V 2care4	V04CX
Patentblau V specific	V04CX
Pavulon	M03AC01
Pedamix SA	B05BA10
Pedea	C01EB16
Peditrace	B05XA31
PegIntron	L03AB10
Pegasys	L03AB11
Penicillin Actavis	J01CE01
Penomax	J01CA08
Pentam	P01CX01
Pentasa	A07EC02
Pentasa Sachet	A07EC02
Pentazocine	N02AD01
Pentobarbital SA	N05CA01
Pentocur	N01AF03
Pentothal-Natrium	N01AF03
Pentrax	D05AA
Pentrexyl	J01CA01
Pepcid	A02BA03
Pepcidduo	A02BA53
Pepcidtwo	A02BA53
Pepto-Bismol	A07BB
Peratsin	N05AB03
Perfadex	V07AB
Perfalgan	N02BE01
Pergotime	G03GB02
Pergoveris	G03GA30
Periactin	R06AX02
Perigona	M01AX05
Perindoprilarginin Servier	C09AA04
Periochip	A01AB03
Peritol	R06AX02
Perjeta	L01XC13
Perphenazin	N05AB03
Persantin	B01AC07
Persantin Retard	B01AC07
Perycit	C10AD01
Petidin	N02AB02
Petidin NAF	N02AB02
Petidin ullevål	N02AB02
Petnidan	N03AD01
Pevaryl	D01AC03
Pevaryl Depot	G01AF05
Pevaryl Depot Kombinasjonspakning	D01AC03
Pevaryl Kombinasjonspakning	G01AF05
Pevisone	D01AC20
PharmaNAC	R05CB01
Pheburane	A16AX03
Phenergan	R06AD02
Phenhydan	N03AB02
Phenindione	B01AA02
Phenobarbital	N03AA02
Phenylephrine	C01CA06
Phenylephrine Hydrochloride	C01CA06
Phenylephrine Minims	S01FB01
Phos-Ex	A12AA12
Phosphate-sandoz	A12
Phosphoral	A06AD17
Phostal 5-gress	V01AA02
Phostal D pteronyssinus	V01AA03
Phostal burot	V01AA10
Phostal or	V01AA05
Phoxilium 1,2 mmol/l fosfat	B05ZB
Physioneal 35 Glucose 13,6 mg/ml	B05DB
Physioneal 35 Glucose 13,6 mg/ml Clear-Flex	B05DB
Physioneal 35 Glucose 22,7 mg/ml	B05DB
Physioneal 35 Glucose 22,7 mg/ml Clear-Flex	B05DB
Physioneal 40 Glucose 13,6 mg/ml	B05DB
Physioneal 40 Glucose 13,6 mg/ml Clear-Flex	B05DB
Physioneal 40 Glucose 22,7 mg/ml	B05DB
Physioneal 40 Glucose 22,7 mg/ml Clear-Flex	B05DB
Physioneal 40 Glucose 38,6 mg/ml	B05DB
Physioneal 40 Glucose 38,6 mg/ml Clear-Flex	B05DB
Physiotens	C02AC05
Picato	D06BX02
Picoprep	A06AB58
Pigmanorm	D11AX
Pilocarpine	S01EB01
Pilocarpine Minims	S01EB01
Pilokarpin	S01EB01
Pilokarpin Minims	S01EB01
Pilokarpin SA	S01EB01
Pimpinelletinktur NAF	R05CA10
Pinex	N02BE01
Pinex Forte	N02AA59
Pinex Major	N02AA59
Pioglitazon Teva	A10BG03
Pip/Taz VM stragen SA	J01CR05
Piperacillin/Tazobactam FarmaPlus	J01CR05
Piperacillin/Tazobactam Fresenius Kabi	J01CR05
Piperacillin/Tazobactam Stragen	J01CR05
Piportil Depot	N05AC04
Piptazira	J01CR05
Piroxicam Mylan	M01AC01
Pitressin	H01BA01
Pixuvri	L01DB11
Placebo SA	V07A
Plaquenil	P01BA02
Plasmalyte	B05BB01
Plasmodex	B05AA05
Plavix	B01AC04
Plenadren	H02AB09
Plendil	C08CA02
Pliapel	N01BB52
Pneumovax	J07AL01
Podofylline SA	D06BB04
Polaramin	R06AB02
Polaramin Euromedica	R06AB02
Polaramine	R06AB02
Polaramine 2care4	R06AB02
Polaramine life	R06AB02
Pomalyst	L04AX06
Posicor	C08CX01
Postafen	R06AE05
Postinor	G03AD01
Potactasol	L01XX17
Pradaxa	B01AE07
Pramipexol Bluefish	N04BC05
Pramipexol Sandoz	N04BC05
Pramipexole Orion	N04BC05
Pranolol	C07AA05
Pravachol	C10AA03
Pravastatin Sandoz	C10AA03
Pravastatin Teva	C10AA03
Precedex	N05CM18
Precortalon Aquosum	H02AB06
Precosa	A07FA02
Pred-Clysma	A07EA01
Predni-POS	S01BA04
Prednisolon	H02AB06
Prednisolon SA	H02AB06
Prednisolone	H02AB06
Prednisolone Minims	S01BA04
Prednison dak	H02AB07
Preflucel	J07BB02
Pregnenolone	A14A
Pregnyl	G03GA01
Premarin	G03CA57
Premixel	B05B
Preotact	H05AA03
Prepulsid	A03FA02
Prevenar 13	J07AL02
Prezista	J05AE10
Priadel	N05AN01
Prialt	N02BG08
Priligy	G04BX14
Primacine	J01FA01
Primaquine	P01BA03
Primene	B05BA01
Primidon	N03AA03
Primolut N	G03DC02
Primolut-N	G03DC02
Primovist	V08CA10
Prioderm	P03AX03
Priorix	J07BD52
Prismasol 2 mmol/l Kalium	B05ZB
Prismasol 4 mmol/l Kalium	B05ZB
Privigen	J06BA02
Pro-Epanutin	N03AB05
Pro-Viron	G03BB01
ProHance	V08CA04
Probecid	M04AB01
Procain	N01BA02
Prochlorperazine	N05AB04
Procoralan	C01EB17
Procren Depot	L02AE02
Proctosedyl	C05AA01
Progesteron NAF	G03DA04
Progesteron ullevål	G03DA04
Proglicem	V03AH01
Proglycem	V03AH01
Prograf	L04AD02
Progynova	G03CA03
Prokain SA	N01BA02
Prokainamid	C01BA02
Prokainhydroklorid SA	B05X
Prolastina	B02AB02
Proleukin	L03AC01
Prolia	M05BX04
Promiten	B05AA05
Promixin	J01XB01
Propal Retard	C07AA05
Propavan	N05CM06
Propecia	D11AX10
Propofol-Lipuro	N01AX10
Propolipid	N01AX10
Propranolol	C07AA05
Propranolol ullevål	C07AA05
Propyltiouracil NAF	H03BA02
Proscar	G04CB01
Prostin 15M	G02AD04
Prostin E2	G02AD02
Prostinfenem	G02AD04
Prostivas	C01EA01
Protaminsulfat LEO Pharma	V03AB14
Prothromplex	B02BD01
Protopic	D11AH01
Provaqomyl	P01BB51
Provera	G03DA02
Proviron	G03BB01
Proxan	M01AE02
Pulmicort	R03BA02
Pulmicort Turbuhaler	R03BA02
Pulmozyme	R05CB13
Puregon	G03GA06
Puri-Nethol	L01BB02
Purinethol	L01BB02
Pursennid	A06AB06
Pyrazinamid SA	J04AK01
Pyrazinamide	J04AK01
Pyridoksin NAF	A11HA02
Pyridoksin SA	A11HA02
Pyridoxin recip	A11HA02
Pyrisept	D08AJ03
Qlaira	G03AB08
Questran	C10AC01
Questran Loc	C10AC01
Quetiapin Actavis	N05AH04
Quetiapin Hexal	N05AH04
Quetiapin Orifarm	N05AH04
Quetiapin Orifarm Generics	N05AH04
Quetiapin Sandoz	N05AH04
Quetiapine Teva	N05AH04
Quinidine sulfate	C01BA01
Quinidine sulfate SR	C01BA01
Qutenza	N01BX04
Rabies-Imovax	J07BG01
Rabipur	J07BG01
Racemisk Amfetamin NAF	N06BA01
Ramipril Actavis	C09AA05
Ramipril Hexal	C09AA05
Ranexa	C01EB18
Ranitidin Sandoz	A02BA02
Ranitidin ratiopharm	A02BA02
Ranitidine	A02BA02
Rapamune	L04AA10
Rapifen	N01AH02
Rapilysin	B01AD07
Rapiscan	C01EB21
Rapydan	N01BB52
Rasilez	C09XA02
ReFacto AF	B02BD02
ReadiSorb Liposomal Glutathione	V03AB32
ReadiSorb Methyl B12	B03BA05
Rebetol	J05AB04
Rebif	L03AB07
Rebif startpakning	L03AB07
Recofol	N01AX10
Recrea Forte	D11AX01
Rectogesic	C05AE01
Red Yeast Rice	C10
Refresh	S01XA20
Regitin	C04AB01
Rehydrex med glucos	B05BB02
Relefact LH-RH	V04CM01
Relefact LH-RH specific	V04CM01
Relenza	J05AH01
Relifex	M01AX01
Relistor	A06AH01
Relpax	N02CC06
Reltebon Depot	N02AA05
Relvar Ellipta	R03AK10
Remeron	N06AX11
Remeron-S	N06AX11
Remicade	L04AB02
Remifemin	G02CX04
Remifentanil Actavis	N01AH06
Remifentanil B. Braun	N01AH06
Remifentanil Orion	N01AH06
Reminyl	N06DA04
Remodulin	B01AC21
Removab	L01XC09
Remsima	L04AB02
Renagel	V03AE02
Renavit	A11EX
Renavit Euromedica	A11EX
Renitec	C09AA02
Renitec Comp	C09BA02
Renitec Comp Mite	C09BA02
Renvela	V03AE02
ReoPro	B01AC13
Repevax	J07CA02
Replagal	A16AB03
Requip	N04BC04
Requip Depot	N04BC04
RescueFlow	B05AA05
Resochin	P01BA01
Resolor	A06AX05
Resonium-Calcium	V03AE01
Restasis	S01XA18
Restenil	N05BC01
Resveratrol	C01EB
Retacrit	B03XA01
Retrovir	J05AF01
Reumacon	M01CX
Revatio	G04BE03
Revlimid	L04AX04
Revolade	B02BX05
Reyataz	J05AE08
Rheomacrodex Med Natriumklorid	B05AA05
Rhesonativ	J06BB01
Rhinocort	R01AD05
Rhinocort Turbuhaler	R01AD05
Rhinox	R01AA05
Rhophylac	J06BB01
Riamet	P01BF01
Riamet euromedica	P01BF01
Riastap	B02BB01
Riboflavin	A11HA04
Ridaura	M01CB03
Ridutox	V03AB32
Rienso	B03AC
Rifadin	J04AB02
Rifater euromedica	J04AM05
Rifinah	J04AM02
Rifinah Euromedica	J04AM02
Rifinah euromedica	J04AM02
Rigabalsam og Honning NAF	R05CA10
Rilutek	N07XX02
Riluzol Actavis	N07XX02
Rimactan	J04AB02
Rimactane	J04AB02
Rimactazid	J04AM02
Rimcure	J04AM05
Rimstar	J04AM06
Rinexin	R01BA01
Ringer-Acetat Baxter Viaflo	B05BB01
Ringer-Acetat Braun	B05BB01
Ringer-Acetat Fresenius Kabi	B05BB01
Ringer-lactat	B05BB01
Ringerfundin	B05BB01
Risedronat Orifarm	M05BA07
Risperdal	N05AX08
Risperdal Consta	N05AX08
Risperidon Sandoz	N05AX08
Rispolept Consta	N05AX08
Ritalin	N06BA04
Ritalin SR	N06BA04
Rivastigmin Orion	N06DA03
Rivotril	N03AE01
RoActemra	L04AC07
Roaccutan	D10BA01
Robinul	A03AB02
Robinul Forte	A03AB02
Robinul-Neostigmin	N07AA51
Robinul-Neostigmine	N07AA51
